contestant_1,contestant_1_score,contestant_2,contestant_2_score,contestant_3,contestant_3_score,contestant_4,contestant_4_score,contestant_5,contestant_5_score,date,raw_scores,series,title
Phill Jupitus,4.0,Rich Hall,1.0,Andy Hamilton,-15.0,Alan Davies,-35.0,,,Friday 22nd October 2010,,h,6. Happiness
Dara O'Briain,2.0,Chris Addison -13.,8.0,Sean Lock,-33.0,Alan Davies,-35.0,,,Friday 29th October 2010,,h,Special: Horrible
Sandi Toksvig,2.0,John Lloyd,-1.0,Johnny Vegas,-7.0,Alan Davies,-27.0,,,Friday 5th November 2010,,h,8. Hypothetical
Bill Bailey,3.0,Eddie Izzard,-16.0,Danny Baker,-17.0,Alan Davies,-19.0,,,Friday 12th November 2010,,h,9. House And Home
David Mitchell,6.0,Ross Noble,2.0,Jeremy Clarkson,-4.0,Alan Davies,-6.0,,,Friday 26th November 2010,,h,10. Health And Safety
Fred MacAulay,8.0,Sandi Toksvig,6.0,Rob Brydon,1.0,Alan Davies,-39.0,,,Friday 3rd December 2010,,h,11. Highs And Lows
Clare Balding,5.0,Dara O'Briain,4.0,Alan Davies,-6.0,Jimmy Carr,-13.0,,,Friday 10th December 2010,,h,12. Horses And Hunting
Rob Brydon,7.0,Rich Hall,-5.0,Bill Bailey,-22.0,Alan Davies,-28.0,,,Friday 17th December 2010,,h,13. Holidays
Daniel Radcliffe,10.0,Graham Norton,4.0,Lee Mack,-18.0,Alan Davies,-19.0,,,Friday 24th December 2010,,h,Christmas Special: Hocus Pocus
Phill Jupitus,-2.0,Alan Davies,-8.0,Ronni Ancona,-17.0,Robert Webb,-32.0,,,Friday 7th January 2011,,h,"15. Hypnotism, Hallucinations And Hysteria"
Rob Brydon,2.0,David Mitchell,-4.0,Sandi Toksvig,-27.0,Alan Davies,-29.0,,,Friday 14th January 2011,,h,16. History
,,,,,,,,,,Monday 25th April 2011,No scores found,h,Highlights Special: QI VG: Compilation Show 3
,,,,,,,,,,Monday 2nd May 2011,No scores found,h,Highlights Special: QI VG: Compilation Show 4
Sandi Toksvig,12.0,Jimmy Carr,-4.0,Lee Mack,-5.0,Alan Davies,-11.0,,,Friday 9th September 2011,,i,1. I-Spy
Bill Bailey,4.0,Alan Davies,-10.0,Jack Dee,-27.0,David Mitchell,-44.0,,,Friday 16th September 2011,,i,2. International
John Bishop and Frank Skinner,4.0,Sean Lock,-14.0,Alan Davies,-21.0,,,,,Friday 23rd September 2011,,i,3. Imbroglio
Phill Jupitus,10.0,The Audience,4.0,Jimmy Carr,-1.0,Rich Hall,-2.0,Alan Davies,-14.0,Friday 30th September 2011,,i,4. Indecision
Johnny Vegas,4.0,Sarah Millican,2.0,Alan Davies,-1.0,Jimmy Carr,-24.0,,,Friday 7th October 2011,,i,5. Invertebrates
Nina Conti,5.0,Gran,4.0,Sean Lock,3.0,Alan Davies,1.0,Bill Bailey,-3.0,Friday 14th October 2011,,i,6. Inventive
Prof. Brian Cox,5.0,Alan Davies,2.0,Ross Noble,-6.0,Sue Perkins,-17.0,,,Friday 21st October 2011,,i,7. Incomprehensible
Sandi Toksvig  (she is unfairly the winner),-54.0,Clive Anderson,7.0,Henning Wehn,-60.0,,,,,Friday 28th October 2011,- Sandi Toksvig: -54 points (she is unfairly the winner)- Clive Anderson: 7 points- Henning Wehn: -60 points- Alan Davies: Minus one gazillion.,i,8. Inequality
Andy Hamilton,8.0,Ben Goldacre,5.0,Alan Davies,-7.0,Jo Brand,-24.0,,,Friday 4th November 2011,,i,9. Illness
Sandi Toksvig,11.0,Dara O'Briain,6.0,Al Murray,-13.0,Alan Davies,-22.0,,,Friday 11th November 2011,,i,10. Inland Revenue
Dave Gorman,10.0,Alan Davies,6.0,Lee Mack,5.0,Ronni Ancona,-7.0,,,Saturday 19th November 2011,,i,11. Infantile
Rich Hall,3.0,Jack Dee,-1.0,Chris Addison,-9.0,Alan Davies,-45.0,,,Friday 25th November 2011,,i,12. Illumination
Asimo,32.0,David Mitchell,4.0,Phill Jupitus,-4.0,Jo Brand,-8.0,Alan Davies,-16.0,Friday 2nd December 2011,,i,13. Intelligence
,,,,,,,,,,Friday 16th December 2011,No scores found,i,Highlights Special: QI VG: Compilation Show 5
,,,,,,,,,,Friday 23rd December 2011,No scores found,i,Highlights Special: QI VG: Compilation Show 6
Alan Davies  (Alan's 14th victory),9.0,Brian Blessed,-2.0,Ross Noble,-3.0,Sean Lock,-8.0,,,Thursday 29th December 2011,,i,Christmas Special: Ice
,,,,,,,,,,Saturday 24th March 2012,"- Everyone is a winner, and points are not announced.",i,Special: Sport Relief Special
Alan Davies  (Alan's 15th victory),12.0,Ross Noble,4.0,Jeremy Clarkson,1.0,Dara O'Briain,-15.0,,,Friday 4th May 2012,,i,18. Idleness
Victoria Coren,13.0,Bill Bailey,10.0,Alan Davies,-6.0,Jimmy Carr,-22.0,,,Friday 14th September 2012,,j,1. Jargon
Alan Davies  (Alan's 16th victory),11.0,Jo Brand,4.0,Liza Tarbuck,-5.0,Sue Perkins,-22.0,,,Friday 21st September 2012,,j,"2. Jam, Jelly And Juice"
Alan Davies  (Alan's 17th victory),4.0,Rob Brydon,-3.0,Cal Wilson,-8.0,Phill Jupitus,-16.0,,,Friday 28th September 2012,,j,3. Journeys
David Mitchell,5.0,Katy Brand,-3.0,Alan Davies,-7.0,Sue Perkins,-12.0,,,Friday 5th October 2012,,j,4. Jack And Jill
Susan Calman,15.0,Sandi Toksvig,11.0,Bill Bailey,4.0,Alan Davies,-11.0,,,Friday 12th October 2012,,j,5. J-Places
Cal Wilson,-5.0,Jack Whitehall,-24.0,Jimmy Carr,-45.0,Alan Davies,-51.0,,,Friday 19th October 2012,,j,6. Joints
Ross Noble,-5.0,Alan Davies and Johnny Vegas,-6.0,Shappi Khorsandi,-17.0,,,,,Friday 26th October 2012,,j,7. Journalism
"Stephen Fry 80,658,175,170,943,878,571,660,636,856,403,766,975,289,505,440,883,277,824,000,000,000,00 (Stephen's first victory)",0.0,John Sessions,16.0,"Alan Davies, Jo Brand and Dara O'Briain",1.0,,,,,Friday 2nd November 2012,,j,8. Jumble
Sue Perkins,-6.0,Ross Noble,-7.0,Alan Davies,-14.0,Julia Zemiro,-16.0,,,Friday 9th November 2012,,j,9. Jeopardy
Reginald D. Hunter,1.0,David O'Doherty,-6.0,Greg Proops,-8.0,Alan Davies,-10.0,,,Friday 23rd November 2012,,j,10. Jungles
,,,,,,,,,,Friday 30th November 2012,No scores found,j,11. Jumpers
,,,,,,,,,,Friday 7th December 2012,No scores found,j,12. Justice
The Rev. Richard Coles,23.0,David Mitchell,13.0,Sarah Millican,8.0,Alan Davies,0.0,,,Friday 14th December 2012,,j,13. Jobs
Danny Baker,4.0,Sarah Millican,-6.0,Phill Jupitus,-32.0,Alan Davies,-38.0,,,Friday 21st December 2012,,j,Christmas Special: Jingle Bells
,,,,,,,,,,Friday 28th December 2012,No scores found,j,Highlights Special: QI VG: Compilation Show 7
,,,,,,,,,,Friday 4th January 2013,No scores found,j,Highlights Special: QI VG: Compilation Show 8
Alan Davies  (Alan's 19th victory),12.0,Julia Zemiro,-3.0,Rob Brydon,-6.0,Tim Vine,-27.0,,,Friday 11th January 2013,,j,17. Jolly
Sandi Toksvig,13.0,Jeremy Clarkson,3.0,Jason Manford,2.0,Alan Davies,-8.0,,,Sunday 25th August 2013,,j,18. Just The Job
Sara Pascoe,28.0,Jack Whitehall,-7.0,Alan Davies,-20.0,David Mitchell,-41.0,,,Friday 6th September 2013,,k,1. Knees & Knockers
Ross Noble,4.0,Noel Fielding,1.0,Alan Davies,-6.0,Colin Lane,-9.0,The Audience,-10.0,Friday 13th September 2013,,k,2. Kit & Kaboodle
Alan Davies  (Alan's 20th victory),7.0,Josh Widdicombe,-7.0,Katherine Ryan,-8.0,Phill Jupitus,-9.0,,,Friday 20th September 2013,,k,3. K-Folk
,,,,,,,,,,Friday 27th September 2013,No scores found,k,4. Knits & Knots
The Audience  (Fifth victory),8.0,Alan Davies,-18.0,Bill Bailey and Jimmy Carr,-19.0,Jeremy Clarkson,-38.0,,,Friday 4th October 2013,,k,5. Kings
Sandi Toksvig,14.0,Trevor Noah,9.0,Jason Manford,-6.0,Alan Davies,-28.0,,,Friday 11th October 2013,,k,6. Killers
Alan Davies 689. (Alan's 21st victory),66.0,Jo Brand 85.,73.0,Jimmy Carr 33.,58.0,The Audience 23.,24.0,Graham Linehan,-19.0,Friday 18th October 2013,,k,7. Knowledge
Bill Bailey,3.0,Isy Suttie,-8.0,,,,,,,Friday 25th October 2013,- Bill Bailey: 3 points- Isy Suttie: -8 points- Tim Minchin: Score not given.- Alan Davies: Score not given.,k,8. Keys
Danny Baker,8.0,Marcus Brigstocke,-5.0,Jo Brand,-8.0,Alan Davies,-56.0,,,Friday 1st November 2013,,k,9. Kinetic
Bill Bailey,-7.0,Sarah Millican and Jason Manford,-9.0,The Audience,-10.0,Alan Davies,27.0,,,Friday 8th November 2013,,k,10. Keeps
Sandi Toksvig,11.0,Johnny Vegas,3.0,Janet Street-Porter,2.0,Alan Davies,-15.0,,,Friday 29th November 2013,,k,11. Kinky
The Rev. Richard Coles and Victoria Coren Mitchell,3.0,Alan Davies,-7.0,Sue Perkins,-24.0,,,,,Friday 6th December 2013,,k,12. Knights And Knaves
Alan Davies  (Alan's 22nd victory),-6.0,Victoria Wood,-7.0,Richard Osman,-17.0,Jason Manford,-38.0,,,Friday 13th December 2013,,k,13. Kitchen Sink
Phill Jupitus,3.0,Alan Davies,-6.0,Jo Brand,-9.0,Brendan O'Carroll,-19.0,,,Tuesday 24th December 2013,,k,Christmas Special: Kris Kringle
Jimmy Carr,9.0,Alan Davies,6.0,Reginald D. Hunter,0.0,Sue Perkins,-8.0,,,Friday 10th January 2014,,k,15. Kitsch
Sandi Toksvig,-2.0,Alan Davies,-4.0,Liza Tarbuck and Susan Calman,-9.0,,,,,Friday 17th January 2014,,k,16. Kaleidoscope
,,,,,,,,,,Friday 24th January 2014,No scores found,k,Highlights Special: QI VG: Compilation Show 9
,,,,,,,,,,Friday 31st January 2014,No scores found,k,Highlights Special: QI VG: Compilation Show 10
Ross Noble,6.0,Alan Davies,-5.0,Sarah Millican,-10.0,Colin Lane,-20.0,,,Friday 3rd October 2014,,l,1. L-Animals
,,,,,,,,,,Friday 10th October 2014,No scores found,l,"2. Location, Location, Location"
Victoria Coren Mitchell,9.0,The Audience -2.,5.0,Lloyd Langford,-10.0,Jack Whitehall,-16.0,Alan Davies,-39.0,Friday 17th October 2014,,l,3. Literature
Alan Davies  (Alan's 23rd victory),11.0,Josh Widdicombe,5.0,Frank Skinner,-7.0,Sue Perkins,-14.0,,,Friday 24th October 2014,,l,4. Levity
Phill Jupitus,1.0,Jo Brand,-6.0,Alan Davies,-26.0,Josh Widdicombe,-30.0,,,Friday 31st October 2014,,l,5. Lenses
Alan Davies  (Alan's 24th victory),4.0,Sara Pascoe,-1.0,Bill Bailey,-6.0,The Rev. Richard Coles,-8.0,,,Friday 7th November 2014,,l,6. Liblabble
Sandi Toksvig,6.0,Bill Bailey,-8.0,Jason Manford,-19.0,,,,,Friday 21st November 2014,- Sandi Toksvig: 6 points- Bill Bailey: -8 points- Alan Davies: Score not given.- Jason Manford: -19 points,l,7. Lethal
Tony Hawks,7.0,Aisling Bea,-6.0,Alan Davies,-7.0,Josh Widdicombe,-36.0,,,Friday 28th November 2014,,l,8. Lovely
Ross Noble,2.0,Alan Davies,-8.0,Kathy Lette,-28.0,Sue Perkins,-48.0,,,Friday 5th December 2014,,l,9. Ladies & Gentlemen
Adam Hills,14.0,Alan Davies,-8.0,Sara Pascoe,-11.0,Jack Whitehall,-19.0,"The ""Shouty Man"" in the Audience",-39.0,Friday 12th December 2014,,l,10. Lying
Alan Davies  (Alan's 25th victory),3.0,David Mitchell,-7.0,Jimmy Carr,-11.0,Ronni Ancona,-29.0,,,Friday 19th December 2014,,l,11. Lumped Together
Jimmy Carr,5.0,Carrie Fisher,3.0,Bill Bailey,-6.0,Alan Davies,-46.0,,,Thursday 25th December 2014,,l,Christmas Special: No-L
,,,,,,,,,,Friday 2nd January 2015,No scores found,l,13. Lucky Losers
Lucy Porter,8.0,Phill Jupitus,3.0,Richard Osman,-16.0,Alan Davies,-27.0,,,Friday 9th January 2015,,l,14. Little And Large
Claudia O'Doherty,9.0,Alan Davies,-8.0,Suggs,-16.0,Jimmy Carr,-37.0,,,Friday 16th January 2015,,l,15. Long Lost
,,,,,,,,,,Friday 23rd January 2015,No scores found,l,16. Landmarks
,,,,,,,,,,Friday 30th January 2015,No scores found,l,Highlights Special: QI VG: Compilation Show 11
,,,,,,,,,,Saturday 31st January 2015,No scores found,l,Highlights Special: QI VG: Compilation Show 12
Lucy Porter,9.0,Ross Noble,7.0,Matt Lucas,-5.0,Alan Davies,-44.0,,,Friday 16th October 2015,,m,1. A Medley Of Maladies
Sheila Hancock,-2.0,Jimmy Carr,-8.0,Jeremy Clarkson,-13.0,Alan Davies,-14.0,,,Friday 23rd October 2015,,m,2. Military Matters
David Mitchell .,-4.0,,,,,,,,,Friday 30th October 2015,- David Mitchell: -4 points.- Sami Saha: No score given.- Alan Davies: No score given.- Sue Perkins: No score given.,m,3. M-Places
