contestant_1,contestant_1_score,contestant_2,contestant_2_score,contestant_3,contestant_3_score,contestant_4,contestant_4_score,contestant_5,contestant_5_score,date,raw_scores,series,title,alan_score,did_alan_win
Linda Smith,2.0,Mark Gatiss,-4.0,Sean Lock,-8.0,Alan Davies,-13.0,N/A,,2004-12-10,,b,11. Beats,-13.0,0
Rich Hall,7.0,Mark Steel,2.0,Phill Jupitus,-3.0,Alan Davies,-52.0,Stephen Fry,-56.0,2004-12-17,,b,Christmas Special: Birth,-52.0,0
Rich Hall,8.0,Bill Bailey,-5.0,Rob Brydon,-16.0,Alan Davies,-25.0,N/A,,2005-09-30,,c,1. Campanology,-25.0,0
Andy Hamilton,5.0,Doon Mackichan,-2.0,Alan Davies,-4.0,Arthur Smith,-6.0,N/A,,2005-09-30,,c,2. Cummingtonite,-4.0,0
Rory McGrath,88.0,Sean Lock,0.0,Alan Davies,-9.0,Jimmy Carr,-12.0,N/A,,2005-10-07,,c,3. Common Knowledge,-9.0,0
Alexander Armstrong,93.0,Jeremy Clarkson,0.0,John Sessions,-10.0,Alan Davies,-52.0,N/A,,2005-10-14,,c,4. Cheating,-52.0,0
Sean Lock,12.0,Rich Hall,3.0,Alan Davies,-18.0,Jo Brand,-28.0,N/A,,2005-10-21,,c,5. Cat's Eyes,-18.0,0
Bill Bailey,3.0,Rory McGrath,-1.0,Phill Jupitus,-12.0,Alan Davies,-19.0,N/A,,2005-10-28,,c,6. Cockneys,-19.0,0
Jeremy Clarkson,5.0,Sean Lock,3.0,Rich Hall,2.0,Alan Davies,-18.0,N/A,,2005-11-04,,c,7. Constellations,-18.0,0
David Mitchell,0.0,Bill Bailey,-8.0,Phill Jupitus,-9.0,Alan Davies,-40.0,N/A,,2005-11-11,,c,8. Corby,-40.0,0
Helen Atkinson-Wood,200.0,Andy Hamilton,22.0,Alan Davies,15.0,Bill Bailey,-20.0,N/A,,2005-11-18,,c,9. Creatures,15.0,0
Mark Steel,2.0,John Sessions,-16.0,Clive Anderson,-28.0,Alan Davies,-84.0,N/A,,2005-11-25,,c,10. Cleve Crudgington,-84.0,0
Clive Anderson,0.0,Jo Brand,-23.0,Alan Davies,-26.0,Phill Jupitus,-23.0,N/A,,2005-12-02,,c,11. Carnival,-26.0,0
Bill Bailey,3.0,Dara O'Briain,-8.0,Phill Jupitus,-18.0,Alan Davies,-47.0,N/A,,2005-12-09,,c,12. Combustion,-47.0,0
Jo Brand,7.0,Sean Lock,4.0,Jimmy Carr,0.0,Alan Davies,-19.0,N/A,,2006-09-29,,d,1. Danger,-19.0,0
Vic Reeves,16.0,Alan Davies,0.0,Clive Anderson,-7.0,Arthur Smith,-23.0,N/A,,2006-09-29,,d,2. Discoveries,0.0,0
Neil Mullarkey,5.0,Liza Tarbuck,-8.0,Jeremy Clarkson,-13.0,Alan Davies,-36.0,N/A,,2006-10-06,,d,3. Dogs,-36.0,0
Ronni Ancona,13.0,Rory Bremner,-7.0,Alan Davies,-7.0,Phill Jupitus,-7.0,N/A,,2006-10-13,,d,4. Dictionaries,-7.0,0
The Audience,2.0,Andy Parsons,0.0,Sean Lock,-8.0,Alan Davies,-15.0,Clive Anderson,-24.0,2006-10-20,,d,Special: Death,-15.0,0
Alan Davies,10.0,Jimmy Carr,2.0,John Sessions,-3.0,Phill Jupitus,-15.0,N/A,,2006-10-27,,d,6. Drinks,10.0,1
Dara O'Briain,3.0,Julian Clary,-8.0,Jo Brand,-16.0,Alan Davies,-144.0,N/A,,2006-11-03,,d,7. Differences,-144.0,0
Jonathan Ross,3.0,Rich Hall,2.0,Phill Jupitus,1.0,Alan Davies,-29.0,N/A,,2006-11-10,No scores found,d,Children In Need Special: Descendants,-29.0,0
Alan Davies,54.0,John Sessions,-4.0,Andy Hamilton,-8.0,David Mitchell,-9.0,N/A,,2006-11-17,,d,9. Doves,54.0,1
Graeme Garden,7.0,Phill Jupitus,6.0,Johnny Vaughan,-19.0,Alan Davies,-70.0,N/A,,2006-11-24,,d,10. Divination,-70.0,0
Alan Davies,-39.0,Mark Steel,-6.0,Vic Reeves,1.0,Roger McGough,1.0,N/A,,2006-12-01,,d,11. Denial And Deprivation,-39.0,0
Jessica Stevenson,-3.0,Phill Jupitus,-4.0,Jo Brand,-18.0,Alan Davies,-64.0,N/A,,2006-12-08,,d,12. Domesticity,-64.0,0
Dara O'Briain,2.0,Rich Hall,-9.0,Jo Brand,-17.0,Alan Davies,-53.0,N/A,,2006-12-15,,d,Christmas Special: December,-53.0,0
Rob Brydon,11.0,Alan Davies,4.0,Jimmy Carr,-2.0,Bill Bailey,-18.0,N/A,,2007-09-21,,e,1. Engineering,4.0,0
Jo Brand,10.0,Rich Hall,1.0,Sean Lock,-12.0,Alan Davies,-21.0,N/A,,2007-09-21,,e,2. Electricity,-21.0,0
Alan Davies,-2.0,Johnny Vegas,-3.0,Jimmy Carr,-6.0,Phill Jupitus,-21.0,N/A,,2007-09-28,,e,3. Eating,-2.0,1
Rich Hall,8.0,Bill Bailey,3.0,Alan Davies,-8.0,Sean Lock,-16.0,N/A,,2007-10-05,,e,4. Exploration,-8.0,0
Phill Jupitus,-5.0,David Mitchell,-7.0,Alan Davies,-26.0,Dara O'Briain,-27.0,The Audience,-100.0,2007-10-12,,e,5. Europe,-26.0,0
Vic Reeves,-6.0,Alan Davies,-24.0,Clive Anderson,-25.0,Jeremy Clarkson,-30.0,N/A,,2007-10-19,,e,"6. Everything, Etc.",-24.0,0
Clive Anderson,5.0,Jo Brand,4.0,Alan Davies,-8.0,Vic Reeves,5.0,N/A,,2007-10-26,,e,7. Espionage,-8.0,0
Alan Davies,13.0,Phill Jupitus,3.0,Jimmy Carr,-10.0,David Mitchell,-11.0,N/A,,2007-11-02,,e,8. Eyes And Ears,13.0,1
Jeremy Clarkson,4.0,Jo Brand,2.0,Bill Bailey,-6.0,Alan Davies,-6.0,N/A,,2007-11-09,,e,Children In Need Special: Entertainment,-6.0,0
The Audience,10.0,Phill Jupitus,-8.0,Charlie Higson,-15.0,Sean Lock,-29.0,Alan Davies,-59.0,2007-11-16,,e,10. England,-59.0,0
Jimmy Carr,5.0,Alan Davies,-17.0,Doon Mackichan,-17.0,Dara O'Briain,5.0,N/A,,2007-11-23,,e,11. Endings,-17.0,0
Alan Davies,10.0,Bill Bailey,8.0,Sean Lock,-8.0,Jo Brand,-33.0,N/A,,2007-12-07,,e,Christmas Special: Empire,10.0,1
Ronni Ancona,5.0,David Mitchell,3.0,Alan Davies,-6.0,Sir Terry Wogan,-9.0,N/A,,2008-11-14,,f,Children In Need Special: Families,-6.0,0
Clive Anderson,8.0,Alan Davies,-6.0,Rob Brydon,-8.0,Dom Joly,-16.0,N/A,,2008-12-22,,f,Christmas Special: Fire And Freezing,-6.0,0
Charlie Higson,8.0,Rob Brydon,-8.0,Andy Hamilton,-15.0,Alan Davies,-19.0,N/A,,2009-01-09,,f,3. Flotsam And Jetsam,-19.0,0
Pam Ayres,8.0,Johnny Vegas,1.0,Alan Davies,-11.0,Johnny Vegas,1.0,N/A,,2009-01-16,- Pam Ayres: 8 points (But not read out - see notes)- Johnny Vegas: 1 point- Alan Davies: -11 points- Sean Lock: -12 points,f,4. Fight Or Flight,-11.0,0
Hugh Dennis,15.0,Jo Brand,8.0,Phill Jupitus,-2.0,Alan Davies,-39.0,N/A,,2009-01-23,,f,5. France,-39.0,0
Sean Lock,-16.0,Jimmy Carr,-18.0,Alan Davies,-21.0,Marcus Brigstocke,-26.0,N/A,,2009-01-30,,f,6. Fakes And Frauds,-21.0,0
Phill Jupitus,-24.0,Jo Brand,-26.0,Dara O'Briain,-28.0,Alan Davies,-42.0,N/A,,2009-02-06,,f,7. Fingers And Fumbs,-42.0,0
Rich Hall,4.0,Clive Anderson,-5.0,Reginald D. Hunter,-6.0,Alan Davies,-35.0,N/A,,2009-02-13,,f,8. Fashion,-35.0,0
Ben Miller,14.0,Sean Lock,7.0,Rob Brydon,-31.0,Alan Davies,-60.0,N/A,,2009-02-20,,f,9. The Future,-60.0,0
The Audience,10.0,Jimmy Carr,-1.0,John Sergeant,-4.0,Alan Davies,-18.0,Jo Brand,-27.0,2009-02-27,,f,10. Flora And Fauna,-18.0,0
Alan Davies,4.0,John Sessions,1.0,Emma Thompson,-10.0,David Mitchell,-15.0,N/A,,2009-03-06,,f,11. Film,4.0,1
David Mitchell,10.0,Rich Hall,-2.0,Alan Davies,-12.0,Jimmy Carr,-46.0,N/A,,2009-03-20,,f,12. Food,-12.0,0
David Mitchell,3.0,Rob Brydon,-6.0,Alan Davies,-8.0,Dara O'Briain,3.0,N/A,,2009-11-26,,g,1. Gardens,-8.0,0
Sandi Toksvig,-3.0,Alan Davies,-4.0,Bill Bailey,-7.0,Sean Lock,-7.0,N/A,,2009-12-03,- John Hodgman: Score not given- Sandi Toksvig: -3 points- Alan Davies: -4 points- Bill Bailey and Sean Lock: -7 points,g,2. Ganimals,-4.0,0
Liza Tarbuck,5.0,Phill Jupitus,2.0,Sean Lock,-7.0,Alan Davies,-17.0,N/A,,2009-12-10,,g,3. Games,-17.0,0
Alan Davies,-7.0,Jo Brand,-10.0,Jimmy Carr,-21.0,Rob Brydon,-28.0,N/A,,2009-12-17,,g,4. Geography,-7.0,1
Alan Davies,5.0,David Tennant,-4.0,Bill Bailey,-6.0,Lee Mack,-29.0,N/A,,2009-12-24,,g,Christmas Special: Groovy,5.0,1
Alan Davies,4.0,Dara O'Briain,-7.0,David Mitchell,-8.0,Graham Norton,-19.0,N/A,,2010-01-01,,g,6. Genius,4.0,1
Sandi Toksvig,5.0,Ronni Ancona,3.0,The Boys,-5.0,N/A,,N/A,,2010-01-08,,g,7. Girls And Boys,,0
Jo Brand,-6.0,Rob Brydon,-7.0,Alan Davies,-36.0,Sean Lock,-76.0,N/A,,2010-01-15,,g,8. Germany,-36.0,0
Hugh Dennis,4.0,Andy Hamilton,2.0,Phill Jupitus,-14.0,Alan Davies,-56.0,N/A,,2010-01-22,,g,9. Gallimaufrey,-56.0,0
David Mitchell,4.0,Alan Davies,2.0,Sean Lock,-6.0,Barack Obama,-10.0,Jo Brand,-46.0,2010-01-29,,g,10. Greats,2.0,0
Jan Ravens,6.0,Jimmy Carr,-7.0,Clive Anderson,-14.0,Alan Davies,-18.0,N/A,,2010-02-05,,g,11. Gifts,-18.0,0
Rich Hall,3.0,Bill Bailey,-8.0,Barry Humphries,-36.0,Alan Davies,3.0,N/A,,2010-02-12,,g,12. Gravity,3.0,1
Alan Davies,-17.0,Sue Perkins,-26.0,Jimmy Carr,-28.0,Jack Dee,-17.0,N/A,,2010-02-19,,g,13. Gothic,-17.0,1
The Audience,10.0,Clive Anderson,3.0,Rich Hall,2.0,Phill Jupitus,-5.0,Alan Davies,-47.0,2010-03-05,,g,14. Greeks,-47.0,0
Bill Bailey,-5.0,Alan Davies,-7.0,Danny Baker,-13.0,Jeremy Clarkson,-27.0,N/A,,2010-03-26,,g,15. Green,-7.0,0
Alan Davies,21.0,David Mitchell,4.0,Rob Brydon,2.0,Johnny Vegas,2.0,N/A,,2010-04-02,,g,16. Geometry,21.0,1
Jack Dee,2.0,Ross Noble,-6.0,Alan Davies,-8.0,N/A,10.0,N/A,,2010-09-17,- Jack Dee: 2 points- Ross Noble: -6 points- Alan Davies: -8 points- Phill Jupitus: - 10 points,h,1. Hodge Podge,-8.0,0
Gyles Brandreth,-8.0,Bill Bailey,-12.0,Alan Davies,-25.0,Sue Perkins,-8.0,N/A,,2010-09-24,,h,2. Hanatomy,-25.0,0
Sean Lock,-1.0,David Mitchell,-13.0,Danny Baker,-14.0,Alan Davies,-38.0,N/A,,2010-10-01,,h,3. Hoaxes,-38.0,0
Jo Brand,4.0,Alan Davies,3.0,Jack Dee,-2.0,Jimmy Carr,-3.0,N/A,,2010-10-08,,h,4. Humans,3.0,0
Ross Noble,7.0,Sean Lock,-5.0,Alan Davies,-6.0,Ruby Wax,-36.0,N/A,,2010-10-15,,h,5. Hanimals,-6.0,0
Phill Jupitus,4.0,Rich Hall,1.0,Andy Hamilton,-15.0,Alan Davies,-35.0,N/A,,2010-10-22,,h,6. Happiness,-35.0,0
Dara O'Briain,2.0,Chris Addison,-13.8,Sean Lock,-33.0,Alan Davies,-35.0,N/A,,2010-10-29,,h,Special: Horrible,-35.0,0
Sandi Toksvig,2.0,John Lloyd,-1.0,Johnny Vegas,-7.0,Alan Davies,-27.0,N/A,,2010-11-05,,h,8. Hypothetical,-27.0,0
Bill Bailey,3.0,Eddie Izzard,-16.0,Danny Baker,-17.0,Alan Davies,-19.0,N/A,,2010-11-12,,h,9. House And Home,-19.0,0
David Mitchell,6.0,Ross Noble,2.0,Jeremy Clarkson,-4.0,Alan Davies,-6.0,N/A,,2010-11-26,,h,10. Health And Safety,-6.0,0
Fred MacAulay,8.0,Sandi Toksvig,6.0,Rob Brydon,1.0,Alan Davies,-39.0,N/A,,2010-12-03,,h,11. Highs And Lows,-39.0,0
Clare Balding,5.0,Dara O'Briain,4.0,Alan Davies,-6.0,Jimmy Carr,-13.0,N/A,,2010-12-10,,h,12. Horses And Hunting,-6.0,0
Rob Brydon,7.0,Rich Hall,-5.0,Bill Bailey,-22.0,Alan Davies,-28.0,N/A,,2010-12-17,,h,13. Holidays,-28.0,0
Daniel Radcliffe,10.0,Graham Norton,4.0,Lee Mack,-18.0,Alan Davies,-19.0,N/A,,2010-12-24,,h,Christmas Special: Hocus Pocus,-19.0,0
Phill Jupitus,-2.0,Alan Davies,-8.0,Ronni Ancona,-17.0,Robert Webb,-32.0,N/A,,2011-01-07,,h,"15. Hypnotism, Hallucinations And Hysteria",-8.0,0
Rob Brydon,2.0,David Mitchell,-4.0,Sandi Toksvig,-27.0,Alan Davies,-29.0,N/A,,2011-01-14,,h,16. History,-29.0,0
Sandi Toksvig,12.0,Jimmy Carr,-4.0,Lee Mack,-5.0,Alan Davies,-11.0,N/A,,2011-09-09,,i,1. I-Spy,-11.0,0
Bill Bailey,4.0,Alan Davies,-10.0,Jack Dee,-27.0,David Mitchell,-44.0,N/A,,2011-09-16,,i,2. International,-10.0,0
John Bishop,4.0,Sean Lock,-14.0,Alan Davies,-21.0,Frank Skinner,4.0,N/A,,2011-09-23,,i,3. Imbroglio,-21.0,0
Phill Jupitus,10.0,The Audience,4.0,Jimmy Carr,-1.0,Rich Hall,-2.0,Alan Davies,-14.0,2011-09-30,,i,4. Indecision,-14.0,0
Johnny Vegas,4.0,Sarah Millican,2.0,Alan Davies,-1.0,Jimmy Carr,-24.0,N/A,,2011-10-07,,i,5. Invertebrates,-1.0,0
Nina Conti,5.0,Gran,4.0,Sean Lock,3.0,Alan Davies,1.0,Bill Bailey,-3.0,2011-10-14,,i,6. Inventive,1.0,0
Prof. Brian Cox,5.0,Alan Davies,2.0,Ross Noble,-6.0,Sue Perkins,-17.0,N/A,,2011-10-21,,i,7. Incomprehensible,2.0,0
Sandi Toksvig,-54.0,Clive Anderson,7.0,Henning Wehn,-60.0,Alan Davies,-1000000.0,N/A,,2011-10-28,- Sandi Toksvig: -54 points (she is unfairly the winner)- Clive Anderson: 7 points- Henning Wehn: -60 points- Alan Davies: Minus one gazillion.,i,8. Inequality,-1000000.0,0
Andy Hamilton,8.0,Ben Goldacre,5.0,Alan Davies,-7.0,Jo Brand,-24.0,N/A,,2011-11-04,,i,9. Illness,-7.0,0
Sandi Toksvig,11.0,Dara O'Briain,6.0,Al Murray,-13.0,Alan Davies,-22.0,N/A,,2011-11-11,,i,10. Inland Revenue,-22.0,0
Dave Gorman,10.0,Alan Davies,6.0,Lee Mack,5.0,Ronni Ancona,-7.0,N/A,,2011-11-19,,i,11. Infantile,6.0,0
Rich Hall,3.0,Jack Dee,-1.0,Chris Addison,-9.0,Alan Davies,-45.0,N/A,,2011-11-25,,i,12. Illumination,-45.0,0
Asimo,32.0,David Mitchell,4.0,Phill Jupitus,-4.0,Jo Brand,-8.0,Alan Davies,-16.0,2011-12-02,,i,13. Intelligence,-16.0,0
Alan Davies,9.0,Brian Blessed,-2.0,Ross Noble,-3.0,Sean Lock,-8.0,N/A,,2011-12-29,,i,Christmas Special: Ice,9.0,1
Alan Davies,12.0,Ross Noble,4.0,Jeremy Clarkson,1.0,Dara O'Briain,-15.0,N/A,,2012-05-04,,i,18. Idleness,12.0,1
Victoria Coren Mitchell,13.0,Bill Bailey,10.0,Alan Davies,-6.0,Jimmy Carr,-22.0,N/A,,2012-09-14,,j,1. Jargon,-6.0,0
Alan Davies,11.0,Jo Brand,4.0,Liza Tarbuck,-5.0,Sue Perkins,-22.0,N/A,,2012-09-21,,j,"2. Jam, Jelly And Juice",11.0,1
Alan Davies,4.0,Rob Brydon,-3.0,Cal Wilson,-8.0,Phill Jupitus,-16.0,N/A,,2012-09-28,,j,3. Journeys,4.0,1
David Mitchell,5.0,Katy Brand,-3.0,Alan Davies,-7.0,Sue Perkins,-12.0,N/A,,2012-10-05,,j,4. Jack And Jill,-7.0,0
Susan Calman,15.0,Sandi Toksvig,11.0,Bill Bailey,4.0,Alan Davies,-11.0,N/A,,2012-10-12,,j,5. J-Places,-11.0,0
Cal Wilson,-5.0,Jack Whitehall,-24.0,Jimmy Carr,-45.0,Alan Davies,-51.0,N/A,,2012-10-19,,j,6. Joints,-51.0,0
Ross Noble,-5.0,Alan Davies,-6.0,Shappi Khorsandi,-17.0,Johnny Vegas,-6.0,N/A,,2012-10-26,,j,7. Journalism,-6.0,0
John Sessions,16.0,Alan Davies,1.0,Jo Brand,1.0,Dara O'Briain,1.0,N/A,,2012-11-02,,j,8. Jumble,1.0,0
Sue Perkins,-6.0,Ross Noble,-7.0,Alan Davies,-14.0,Julia Zemiro,-16.0,N/A,,2012-11-09,,j,9. Jeopardy,-14.0,0
Reginald D. Hunter,1.0,David O'Doherty,-6.0,Greg Proops,-8.0,Alan Davies,-10.0,N/A,,2012-11-23,,j,10. Jungles,-10.0,0
Bill Bailey,6.0,Ross Noble,5.0,Alan Davies,-4.0,Julian Clary,-7.0,N/A,,2012-11-30,No scores found,j,11. Jumpers,-4.0,0
Alan Davies,5.0,Rhys Darby,3.0,Jason Manford,-2.0,Prof. Brian Cox,-7.0,N/A,,2012-12-07,No scores found,j,12. Justice,5.0,1
The Rev. Richard Coles,23.0,David Mitchell,13.0,Sarah Millican,8.0,Alan Davies,0.0,N/A,,2012-12-14,,j,13. Jobs,0.0,0
Danny Baker,4.0,Sarah Millican,-6.0,Phill Jupitus,-32.0,Alan Davies,-38.0,N/A,,2012-12-21,,j,Christmas Special: Jingle Bells,-38.0,0
Alan Davies,12.0,Julia Zemiro,-3.0,Rob Brydon,-6.0,Tim Vine,-27.0,N/A,,2013-01-11,,j,17. Jolly,12.0,1
Sandi Toksvig,13.0,Jeremy Clarkson,3.0,Jason Manford,2.0,Alan Davies,-8.0,N/A,,2013-08-25,,j,18. Just The Job,-8.0,0
Sara Pascoe,28.0,Jack Whitehall,-7.0,Alan Davies,-20.0,David Mitchell,-41.0,N/A,,2013-09-06,,k,1. Knees & Knockers,-20.0,0
Ross Noble,4.0,Noel Fielding,1.0,Alan Davies,-6.0,Colin Lane,-9.0,The Audience,-10.0,2013-09-13,,k,2. Kit & Kaboodle,-6.0,0
Alan Davies,7.0,Josh Widdicombe,-7.0,Katherine Ryan,-8.0,Phill Jupitus,-9.0,N/A,,2013-09-20,,k,3. K-Folk,7.0,1
David Mitchell,-6.0,Ross Noble,-9.0,Alan Davies,-17.0,Sue Perkins,-22.0,N/A,,2013-09-27,No scores found,k,4. Knits & Knots,-17.0,0
The Audience,8.0,Alan Davies,-18.0,Bill Bailey,-19.0,Jeremy Clarkson,-38.0,Jimmy Carr,-19.0,2013-10-04,,k,5. Kings,-18.0,0
Sandi Toksvig,14.0,Trevor Noah,9.0,Jason Manford,-6.0,Alan Davies,-28.0,N/A,,2013-10-11,,k,6. Killers,-28.0,0
Alan Davies,689.66,Jo Brand,85.73,Jimmy Carr,33.58,The Audience,23.24,Graham Linehan,-19.0,2013-10-18,,k,7. Knowledge,689.66,1
Bill Bailey,3.0,Isy Suttie,-8.0,Tim Minchin,0.0,Alan Davies,0.0,N/A,,2013-10-25,- Bill Bailey: 3 points- Isy Suttie: -8 points- Tim Minchin: Score not given.- Alan Davies: Score not given.,k,8. Keys,0.0,0
Danny Baker,8.0,Marcus Brigstocke,-5.0,Jo Brand,-8.0,Alan Davies,-56.0,N/A,,2013-11-01,,k,9. Kinetic,-56.0,0
Bill Bailey,-7.0,Sarah Millican,-9.0,The Audience,-10.0,Alan Davies,27.0,Jason Manford,-9.0,2013-11-08,,k,10. Keeps,27.0,1
Sandi Toksvig,11.0,Johnny Vegas,3.0,Janet Street-Porter,2.0,Alan Davies,-15.0,N/A,,2013-11-29,,k,11. Kinky,-15.0,0
The Rev. Richard Coles,3.0,Alan Davies,-7.0,Sue Perkins,-24.0,Victoria Coren Mitchell,3.0,N/A,,2013-12-06,,k,12. Knights And Knaves,-7.0,0
Alan Davies,-6.0,Victoria Wood,-7.0,Richard Osman,-17.0,Alan Davies,-6.0,N/A,,2013-12-13,,k,13. Kitchen Sink,-6.0,1
Phill Jupitus,3.0,Alan Davies,-6.0,Jo Brand,-9.0,Brendan O'Carroll,-19.0,N/A,,2013-12-24,,k,Christmas Special: Kris Kringle,-6.0,0
Jimmy Carr,9.0,Alan Davies,6.0,Reginald D. Hunter,0.0,Sue Perkins,-8.0,N/A,,2014-01-10,,k,15. Kitsch,6.0,0
Sandi Toksvig,-2.0,Alan Davies,-4.0,Liza Tarbuck,-9.0,Susan Calman,-9.0,N/A,,2014-01-17,,k,16. Kaleidoscope,-4.0,0
Ross Noble,6.0,Alan Davies,-5.0,Sarah Millican,-10.0,Colin Lane,-20.0,N/A,,2014-10-03,,l,1. L-Animals,-5.0,0
Jason Manford,3.0,Johnny Vegas,2.0,Aisling Bea,-7.0,The Audience,-10.0,Alan Davies,-14.0,2014-10-10,No scores found,l,"2. Location, Location, Location",-14.0,0
Victoria Coren Mitchell,9.0,The Audience,-2.5,Lloyd Langford,-10.0,Jack Whitehall,-16.0,Alan Davies,-39.0,2014-10-17,,l,3. Literature,-39.0,0
Alan Davies,11.0,Josh Widdicombe,5.0,Frank Skinner,-7.0,Sue Perkins,-14.0,N/A,,2014-10-24,,l,4. Levity,11.0,1
Phill Jupitus,1.0,Jo Brand,-6.0,Alan Davies,-26.0,Josh Widdicombe,-30.0,N/A,,2014-10-31,,l,5. Lenses,-26.0,0
Alan Davies,4.0,Sara Pascoe,-1.0,Bill Bailey,-6.0,The Rev. Richard Coles,-8.0,N/A,,2014-11-07,,l,6. Liblabble,4.0,1
Sandi Toksvig,6.0,Bill Bailey,-8.0,Jason Manford,-19.0,Alan Davies,0.0,N/A,,2014-11-21,- Sandi Toksvig: 6 points- Bill Bailey: -8 points- Alan Davies: Score not given.- Jason Manford: -19 points,l,7. Lethal,0.0,0
Tony Hawks,7.0,Aisling Bea,-6.0,Alan Davies,-7.0,Josh Widdicombe,-36.0,N/A,,2014-11-28,,l,8. Lovely,-7.0,0
Ross Noble,2.0,Alan Davies,-8.0,Kathy Lette,-28.0,Sue Perkins,-48.0,N/A,,2014-12-05,,l,9. Ladies & Gentlemen,-8.0,0
Adam Hills,14.0,Alan Davies,-8.0,Sara Pascoe,-11.0,Jack Whitehall,-19.0,"The ""Shouty Man"" in the Audience",-39.0,2014-12-12,,l,10. Lying,-8.0,0
Alan Davies,3.0,David Mitchell,-7.0,Jimmy Carr,-11.0,Ronni Ancona,-29.0,N/A,,2014-12-19,,l,11. Lumped Together,3.0,1
Jimmy Carr,5.0,Carrie Fisher,3.0,Bill Bailey,-6.0,Alan Davies,-46.0,N/A,,2014-12-25,,l,Christmas Special: No-L,-46.0,0
Danny Baker,-23.0,Jeremy Clarkson,-5.0,Sandi Toksvig,3.0,Alan Davies,52.0,N/A,,2015-01-02,No scores found,l,13. Lucky Losers,52.0,0
Lucy Porter,8.0,Phill Jupitus,3.0,Richard Osman,-16.0,Alan Davies,-27.0,N/A,,2015-01-09,,l,14. Little And Large,-27.0,0
Claudia O'Doherty,9.0,Alan Davies,-8.0,Suggs,-16.0,Jimmy Carr,-37.0,N/A,,2015-01-16,,l,15. Long Lost,-8.0,0
